The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
It recently bowed to  international pressure to grant the Taliban prisoners the status  of prisoner of war but still refused to cover al Qaeda prisoners  with the same treatment.	cover al Qaeda prisoners  with the same treatment	refused to
cover-24	refused-22	-xcomp
The Bush administration has been under international criticism  for not treating the detainees humanely.	The Bush administration	criticism  for not treating the detainees humanely
administration-3	for-10	-nsubj-prep
Both Castro and Chavez are leftists who see themselves as  revolutionary leaders.	themselves	see themselves as  revolutionary leaders
themselves-9	see-8	-dobj
Both Castro and Chavez are leftists who see themselves as  revolutionary leaders.	themselves	see themselves as  revolutionary leaders
themselves-9	see-8	-dobj
Cubans celebrate Venezuelan president's return to power, compare botched coup to Bay of Pigs	coup	compare botched coup to Bay of Pigs
coup-10	compare-8	-dobj
Cubans celebrate Venezuelan president's return to power, compare botched coup to Bay of Pigs	Venezuelan president's return to power	celebrate
return-5	celebrate-2	-ccomp
HAVANA - (AP) -- Thousands of Cubans celebrated Venezuelan  President Hugo Chavez's return to power at a rally Tuesday,  likening the failed coup against the Cuban ally to the  disastrous U.S.-backed effort to overthrow Fidel Castro's  government 41 years ago.	Venezuelan  President Hugo Chavez's return to power	celebrated
return-14	celebrated-8	-ccomp
HAVANA - (AP) -- Thousands of Cubans celebrated Venezuelan  President Hugo Chavez's return to power at a rally Tuesday,  likening the failed coup against the Cuban ally to the  disastrous U.S.-backed effort to overthrow Fidel Castro's  government 41 years ago.	the failed coup	likening the failed coup against the Cuban ally to the  disastrous U.S.-backed effort to overthrow Fidel Castro's  government 41 years ago
coup-25	likening-22	-dobj
Castro considers Chavez a friend and his closest political ally  in the region, and their close ties have rankled the United  States.	their close ties	have rankled
ties-18	rankled-20	-conj-pobj-prep-conj-nsubj
Castro considers Chavez a friend and his closest political ally  in the region, and their close ties have rankled the United  States.	Chavez	considers Chavez a friend and his closest political ally  in the region
Chavez-3	considers-2	-dobj
Cuba was swift to denounce the Venezuelan president's ouster  Friday -- reversed two days later when Chavez was reinstated by  loyalist military officers after demonstrations calling for his  return.	the Venezuelan president's ouster	was swift to denounce
ouster-9	denounce-5	-nsubj-ccomp
The Bush administration brushed aside suggestions Tuesday that  it quietly encouraged the removal of Chavez.	suggestions Tuesday that  it quietly encouraged the removal of Chavez	brushed aside
suggestions-6	brushed-4	-dobj
Russian Yuri Onufrienko couldn't wait to take over as space  station commander from American Frank Culbertson.	to take over as space  station commander from American Frank Culbertson	couldn't wait
take-7	couldn't-4	-nsubj
Space station commander Frank Culbertson had eagerly awaited the  arrival of Endeavour, his ride home.	the  arrival of Endeavour	had eagerly awaited
arrival-11	awaited-8	-dobj
Argentina's biggest political force, the Peronists, who ruled  from 1989-99, withdrew support from Rodriguez Saa, accusing him  of being power-hungry, and convinced other parties to accept in  his stead Peronist heavyweight Senator Eduardo Duhalde.	him	accusing him  of being power-hungry
him-18	-19	-nsubj
Argentina's biggest political force, the Peronists, who ruled  from 1989-99, withdrew support from Rodriguez Saa, accusing him  of being power-hungry, and convinced other parties to accept in  his stead Peronist heavyweight Senator Eduardo Duhalde.	Rodriguez Saa	withdrew support from
Saa,-16	from-14	-nsubj-pcomp
But the argentino would only be backed by the bricks and mortar  of government buildings such as the Pink Palace, and analysts  have warned it could devalue and spark inflation.	it could devalue and spark inflation	have warned
devalue-29	warned-26	-ccomp
BUENOS AIRES - Argentina ended 2001 leaderless and penniless  yesterday with its new interim president resigning a week into  the job and the country fearing more bloodshed and the loss of  savings frozen in the banks.	more bloodshed and the loss of  savings frozen in the banks	fearing
bloodshed-29	fearing-27	-acomp
U.S. President George W. Bush said yesterday he was worried  about Argentina, but was confident the country would "stay  together" until it chooses a new leader while offering	Argentina	was worried  about
Argentina,-13	about-12	-pobj
U.S. President George W. Bush said yesterday he was worried  about Argentina, but was confident the country would "stay  together" until it chooses a new leader while offering	the country	was confident the country would "stay  together
country-18	the-17	-det
The country of 36 million people is living in fear of more shop  looting and violence that killed 27 people before De la Rua  quit, of more riots like those that erupted on Friday and of  more misery as a four-year-old recession grinds on.	more shop  looting and violence that killed 27 people before De la Rua  quit, of more riots like those that erupted on Friday and of  more misery as a four-year-old recession grinds on	is living in fear of
and-16	fear-10	-cc
While the moratorium on part of Argentina's $132-billion public  debt, heralding the biggest default in history, had long been  expected by markets that have dumped Argentine bonds this year,  Rodriguez Saa's plans for a new currency caused alarm.	Rodriguez Saa's plans for a new currency	alarm
currency-39	alarm.-41	-vmod-dobj
Plunged into chaos by looting and deadly riots that forced  Fernando de la Rua to resign as president a week ago, Argentina  fell deeper into anarchy when interim leader Adolfo Rodriguez  Saa quit on Sunday after losing his party's support.	interim leader Adolfo Rodriguez  Saa	losing his party's support
Saa-35	losing-40	-nsubj-prep-pcomp
With New Year celebrations canceled for fear of violence in the  worst crisis since the country's last military coup in 1976,  security chief Juan Jose Alvarez said the capital had been  "strongly reinforced with patrols by the federal police, the  coast guard and the border police."	violence in the  worst crisis since the country's last military coup in 1976	fear of
violence-9	of-8	-pobj
The win gives the 78-year-old Mr. Mugabe a six-year term in  office and was hailed by Patrick Chinamasa, Zimbabwe's Justice  Minister, as a "runaway victory."	The win	hailed by Patrick Chinamasa, Zimbabwe's Justice  Minister, as a "runaway victory
win-2	hailed-16	-nsubj-conj
The despondent former union boss appeared befuddled by the  result, as if he had never expected Mr. Mugabe to pull out a  victory using just about every shady tactic in the book.	the  result	befuddled by
result,-11	by-8	-pobj
The despondent former union boss appeared befuddled by the  result, as if he had never expected Mr. Mugabe to pull out a  victory using just about every shady tactic in the book.	the  result	despondent
result,-11	despondent-2	-pobj-prep-ccomp-nsubj-amod
The Crisis in Zimbabwe Committee, a coalition of church and  civic groups, called for Zimbabweans to protest the elections  tomorrow in a "constitutionally acceptable" manner.	the elections	protest
elections-20	protest-18	-dobj
The Crisis in Zimbabwe Committee, a coalition of church and  civic groups, called for Zimbabweans to protest the elections  tomorrow in a "constitutionally acceptable" manner.	Zimbabweans	called for Zimbabweans to protest the elections  tomorrow in a "constitutionally acceptable" manner
